Tip;Hesap_Adi;Tarih;Açıklama;Tutar
Banka Hesabı;QNB - Vadesiz Kobi Nakit;16/08/2025;Transfer İşlemleri - Alıcı:Gümüşbulut Danışmanlık Turizm Gıda Sanay-Hesaptan hesaba havale Al.Hs:91739448 Mobil Bankacılı;-135000
Banka Hesabı;QNB - Vadesiz Kobi Nakit;17/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N001 Yurt İçi Banka Kartı İşlemi;14905
Banka Hesabı;QNB - Vadesiz Kobi Nakit;17/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O138 QNB Banka Kartı İşlemi;955
Banka Hesabı;QNB - Vadesiz Kobi Nakit;17/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O033 QNB Kredi Kartı İşlemi;645
Banka Hesabı;QNB - Vadesiz Kobi Nakit;17/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N003 Yurt İçi Kredi Kartı İşlemi;18035
Banka Hesabı;QNB - Vadesiz Kobi Nakit;17/08/2025;Kart İşlemleri -  2794079        -DURUMLE                  ISTANBUL     TR Pos satış.;-498
Banka Hesabı;QNB - Vadesiz Kobi Nakit;18/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N222 FAST NOTONUS SATIŞ İşlemi;290
Banka Hesabı;QNB - Vadesiz Kobi Nakit;18/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O033 QNB Kredi Kartı İşlemi;2785
Banka Hesabı;QNB - Vadesiz Kobi Nakit;18/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N003 Yurt İçi Kredi Kartı İşlemi;27820
Banka Hesabı;QNB - Vadesiz Kobi Nakit;18/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N001 Yurt İçi Banka Kartı İşlemi;8985
Banka Hesabı;QNB - Vadesiz Kobi Nakit;19/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N222 FAST NOTONUS SATIŞ İşlemi;745
Banka Hesabı;QNB - Vadesiz Kobi Nakit;19/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O033 QNB Kredi Kartı İşlemi;4150
Banka Hesabı;QNB - Vadesiz Kobi Nakit;19/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N003 Yurt İçi Kredi Kartı İşlemi;26665
Banka Hesabı;QNB - Vadesiz Kobi Nakit;19/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N001 Yurt İçi Banka Kartı İşlemi;13176
Banka Hesabı;QNB - Vadesiz Kobi Nakit;19/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O138 QNB Banka Kartı İşlemi;920
Banka Hesabı;QNB - Vadesiz Kobi Nakit;19/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı İşlemi;350
Banka Hesabı;QNB - Vadesiz Kobi Nakit;19/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı Üye İşyeri Ücreti - Peşin;-6,65
Banka Hesabı;QNB - Vadesiz Kobi Nakit;19/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı İşlemi BSMV;-0,33
Banka Hesabı;QNB - Vadesiz Kobi Nakit;20/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı İşlemi;525
Banka Hesabı;QNB - Vadesiz Kobi Nakit;20/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı Üye İşyeri Ücreti - Peşin;-9,98
Banka Hesabı;QNB - Vadesiz Kobi Nakit;20/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı İşlemi BSMV;-0,5
Banka Hesabı;QNB - Vadesiz Kobi Nakit;20/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N002 Yurt Dışı Banka Kartı İşlemi;50
Banka Hesabı;QNB - Vadesiz Kobi Nakit;20/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N002 Yurt Dışı Banka Kartı Üye İşyeri Ücreti - Peşin;-0,95
Banka Hesabı;QNB - Vadesiz Kobi Nakit;20/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N002 Yurt Dışı Banka Kartı İşlemi BSMV;-0,05
Banka Hesabı;QNB - Vadesiz Kobi Nakit;20/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N222 FAST NOTONUS SATIŞ İşlemi;935
Banka Hesabı;QNB - Vadesiz Kobi Nakit;20/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O033 QNB Kredi Kartı İşlemi;850
Banka Hesabı;QNB - Vadesiz Kobi Nakit;20/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N003 Yurt İçi Kredi Kartı İşlemi;13853
Banka Hesabı;QNB - Vadesiz Kobi Nakit;20/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N001 Yurt İçi Banka Kartı İşlemi;10500
Banka Hesabı;QNB - Vadesiz Kobi Nakit;20/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O138 QNB Banka Kartı İşlemi;1087,5
Banka Hesabı;QNB - Vadesiz Kobi Nakit;20/08/2025;Transfer İşlemleri - Alıcı:Gümüşbulut Danışmanlık Turizm Gıda Sanay-Hesaptan hesaba havale Al.Hs:91739448 Mobil Bankacılı;-50000
Banka Hesabı;QNB - Vadesiz Kobi Nakit;21/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O033 QNB Kredi Kartı İşlemi;2675
Banka Hesabı;QNB - Vadesiz Kobi Nakit;21/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N003 Yurt İçi Kredi Kartı İşlemi;20130
Banka Hesabı;QNB - Vadesiz Kobi Nakit;21/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N001 Yurt İçi Banka Kartı İşlemi;9725
Banka Hesabı;QNB - Vadesiz Kobi Nakit;21/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O138 QNB Banka Kartı İşlemi;1845
