Tip,Hesap_Adi,Tarih,Açıklama,Tutar
Banka Hesabı,QNB - DBS,25/08/2025,Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090141921.,-4302.10
Banka Hesabı,QNB - DBS,25/08/2025,Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090141922.,-9690.38
Banka Hesabı,QNB - DBS,25/08/2025,Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090143334.,-23957.52
Banka Hesabı,QNB - DBS,25/08/2025,Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090143335.,-13926.39
Banka Hesabı,QNB - DBS,25/08/2025,Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090143336.,-12805.62
Banka Hesabı,QNB - DBS,27/08/2025,"Mevduat İşlemleri - FS995 NOLU ATM DEN VADESIZ HESABA  PARA YATIRMA, 095538",3300.00
Banka Hesabı,QNB - DBS,28/08/2025,"Mevduat İşlemleri - FS995 NOLU ATM DEN VADESIZ HESABA  PARA YATIRMA, 949158",7700.00
Banka Hesabı,QNB - DBS,28/08/2025,Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090144219.,-23772.82
Banka Hesabı,QNB - DBS,28/08/2025,Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090144220.,-9060.21
Banka Hesabı,QNB - DBS,28/08/2025,Ödeme İşlemleri - DBS Fatura Tahsilatı - OTOMATİK. Bayi Referans: BAYİ 3CR 34AN23 Fatura No: 20250090144221.,-13333.49
Banka Hesabı,QNB - DBS,30/08/2025,"Mevduat İşlemleri - FS995 NOLU ATM DEN VADESIZ HESABA  PARA YATIRMA, 770871",4100.00
Banka Hesabı,QNB - DBS,30/08/2025,"Mevduat İşlemleri - FS995 NOLU ATM DEN VADESIZ HESABA  PARA YATIRMA, 778183",7000.00
Banka Hesabı,QNB - DBS,31/08/2025,Transfer İşlemleri - Gönderen:Gümüşbulut Danışmanlık Turizm Gıda Sanay-Hesaptan hesaba havale,500000.00
Banka Hesabı,QNB - DBS,01/09/2025,Ödeme İşlemleri - 4A Prim Borcu SGK Ödemesi,-141077.74
Banka Hesabı,QNB - Vadesiz Kobi Nakit,01/08/2025,Diğer - 1.1.1 69041264 numaralı Hesap Nakdi Kredi kullandırımına ait Komisyon Ücreti,-0.02
Banka Hesabı,QNB - Vadesiz Kobi Nakit,01/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N222 FAST NOTONUS SATIŞ İşlemi,1645.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,01/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) O033 QNB Kredi Kartı İşlemi,1735.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,01/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N003 Yurt İçi Kredi Kartı İşlemi,18015.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,01/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N001 Yurt İçi Banka Kartı İşlemi,15147.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,01/08/2025,Transfer İşlemleri - Alıcı:Gümüşbulut Danışmanlık Turizm Gıda Sanay-Hesaptan hesaba havale Al.Hs:91739448 Mobil Bankacılı,-394323.43
Banka Hesabı,QNB - Vadesiz Kobi Nakit,01/08/2025,Transfer İşlemleri - Gönderen: METROPAL KURUMSAL HİZMETLER ANONİM ŞİRKETİ Sorgu No: 0030512 - GBD'2025000000098 NOLU FATU,48442.17
Banka Hesabı,QNB - Vadesiz Kobi Nakit,02/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N222 FAST NOTONUS SATIŞ İşlemi,2135.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,02/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) O033 QNB Kredi Kartı İşlemi,2255.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,02/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N003 Yurt İçi Kredi Kartı İşlemi,17005.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,02/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N001 Yurt İçi Banka Kartı İşlemi,13095.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,02/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) O138 QNB Banka Kartı İşlemi,1615.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,03/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N222 FAST NOTONUS SATIŞ İşlemi,290.00
